10220,Biniguy,624,1016,,4896,6,60,,NSW,1509,6,59,1016,1016,0%
10221,Binjura,377,1044,,6090,8,74,,NSW,1828,8,72,1044,1044,0%
10222,Binna Burra (NSW),187,1004,,4407,6,54,,NSW,1352,6,53,1004,1004,0%
10223,Binnaway,779,823,,340,1,5,,NSW,74,1,3,733,952,0%
10224,Binya,189,1002,,4315,6,53,,NSW,1320,6,52,1002,1002,0%
10225,Birchgrove,3101,1148,,8150,10,99,,NSW,2504,10,98,1118,1171,0%
10226,Birmingham Gardens,2126,948,,2276,3,28,,NSW,719,3,29,907,984,0%
10227,Birrong,2952,930,,1750,3,22,,NSW,553,3,22,859,957,0%
10228,Bishops Bridge,225,1016,,4949,6,60,,NSW,1519,6,60,1016,1016,0%
10229,Bithramere,175,998,,4160,6,51,,NSW,1278,5,50,998,998,0%
10230,Black Head,754,999,,4186,6,51,,NSW,1287,6,51,993,1007,0%
10231,Black Hill (NSW),655,1084,,7290,9,89,,NSW,2191,9,86,1070,1100,0%
10232,Black Mountain (NSW),332,1057,,6492,8,79,,NSW,1931,8,76,1057,1057,0%
10233,Black Springs (NSW),356,1000,,4242,6,52,,NSW,1301,6,51,1000,1000,0%
10234,Blackalls Park,2762,936,,1924,3,24,,NSW,608,3,24,877,972,0%
10235,Blackbutt (NSW),3159,994,,3991,5,49,,NSW,1232,5,49,875,1092,0%
10236,Blackett,3415,780,,217,1,3,,NSW,34,1,2,732,810,0%
10237,Blackheath (NSW),4570,990,,3815,5,47,,NSW,1173,5,46,948,1036,0%
10238,Blackmans Point,265,910,,1258,2,16,,NSW,391,2,16,910,910,0%
10239,Blacksmiths,1838,930,,1754,3,22,,NSW,557,3,22,827,996,0%
10240,Blacktown,43367,951,,2385,3,29,,NSW,758,3,30,654,1097,0%
10241,Blackwall (NSW),1732,931,,1800,3,22,,NSW,574,3,23,882,1028,0%
10242,Blair Athol (NSW),2704,1078,,7150,9,87,,NSW,2150,9,84,1022,1113,0%
10243,Blairmount,483,979,,3357,5,41,,NSW,1040,5,41,979,979,2%
10244,Blakehurst,6099,1105,,7701,10,94,,NSW,2317,10,91,1007,1161,0%
10245,Blandford,322,1000,,4215,6,52,,NSW,1294,6,51,1000,1000,0%
10246,Blaxland (NSW),7329,1068,,6850,9,84,,NSW,2054,9,81,938,1138,0%
10247,Blaxlands Ridge,465,1081,,7211,9,88,,NSW,2169,9,85,1081,1081,0%
10248,Blayney,3352,939,,2022,3,25,,NSW,639,3,25,812,1093,0%
10249,Bligh Park,6482,998,,4118,5,50,,NSW,1264,5,50,945,1056,0%
10250,Blighty,397,1039,,5901,8,72,,NSW,1773,7,70,1039,1039,0%
10251,Blue Bay,1021,929,,1708,3,21,,NSW,541,3,22,882,960,0%
10252,Blue Haven,6171,933,,1864,3,23,,NSW,595,3,24,871,975,0%
10253,Blue Knob,168,847,,463,1,6,,NSW,115,1,5,847,847,0%
10255,Boambee,1549,1061,,6654,9,81,,NSW,1991,8,78,1011,1097,0%
10256,Boambee East,5452,964,,2804,4,34,,NSW,881,4,35,908,1015,0%
10257,Boat Harbour (Port Stephens - NSW),922,1046,,6139,8,75,,NSW,1842,8,72,1030,1067,0%
10258,Bobs Farm,498,976,,3231,4,40,,NSW,1005,4,40,957,995,0%
10259,Bodalla,532,898,,1040,2,13,,NSW,312,2,13,849,959,0%
10260,Bogan Gate,305,920,,1497,2,19,,NSW,471,2,19,920,920,0%
10261,Bogangar,3111,953,,2437,3,30,,NSW,771,4,31,931,993,0%
10262,Boggabilla,1140,757,,181,1,3,,NSW,21,1,1,473,1056,0%
10263,Boggabri,1191,888,,877,2,11,,NSW,256,1,10,843,1000,0%
10264,Bolton Point,2294,858,,539,1,7,,NSW,136,1,6,709,956,0%
10265,Bolwarra (NSW),1173,1057,,6491,8,79,,NSW,1930,8,76,1022,1077,0%
10266,Bolwarra Heights,2508,1113,,7818,10,95,,NSW,2360,10,93,1057,1167,0%
10267,Bomaderry,6569,921,,1520,2,19,,NSW,478,2,19,772,1091,0%
10268,Bombala,1206,920,,1484,2,18,,NSW,464,2,19,899,940,0%
10269,Bombira,199,1121,,7920,10,97,,NSW,2407,10,94,1121,1121,0%
10270,Bombo,30,1009,,4601,6,56,,NSW,1412,6,56,1009,1009,0%
10271,Bombowlee,268,1032,,5604,7,68,,NSW,1695,7,67,1032,1032,0%
10272,Bomen,32,1113,,7816,10,95,,NSW,2358,10,92,1113,1113,0%
10273,Bomera,268,1018,,5018,7,61,,NSW,1542,7,61,1018,1018,0%
10274,Bonalbo,547,877,,715,1,9,,NSW,197,1,8,822,937,0%
10275,Bondi,9628,1085,,7316,9,89,,NSW,2203,9,86,1013,1138,0%
10276,Bondi Beach,10769,1089,,7430,10,91,,NSW,2237,9,88,1038,1129,0%
10277,Bondi Junction,8648,1071,,6934,9,85,,NSW,2081,9,82,963,1133,0%
10278,Bonnells Bay,3124,984,,3563,5,44,,NSW,1096,5,43,926,1061,0%
10279,Bonnet Bay,2123,1151,,8164,10,99,,NSW,2511,10,98,1137,1167,0%
10280,Bonny Hills,2861,1012,,4738,6,58,,NSW,1457,6,57,975,1041,0%
10281,Bonnyrigg,7991,850,,481,1,6,,NSW,121,1,5,646,976,0%
10282,Bonnyrigg Heights,7212,972,,3069,4,38,,NSW,961,4,38,903,1069,0%
10283,Bonville,2257,1016,,4947,6,60,,NSW,1518,6,60,968,1070,0%
10284,Booerie Creek,334,984,,3568,5,44,,NSW,1099,5,43,984,984,0%
10285,Booker Bay,1136,922,,1533,2,19,,NSW,482,2,19,907,935,0%
10286,Bookham,155,992,,3918,5,48,,NSW,1208,5,48,992,992,0%
10287,Boolambayte,206,945,,2181,3,27,,NSW,694,3,28,945,945,0%
10288,Boolaroo,931,905,,1174,2,15,,NSW,363,2,15,904,906,0%
10289,Booligal,164,1035,,5725,7,70,,NSW,1731,7,68,1035,1035,0%
10290,Boomanoomana,317,1040,,5935,8,72,,NSW,1783,7,70,1040,1040,0%
10291,Boomerang Beach,436,974,,3139,4,39,,NSW,984,4,39,974,974,0%
10292,Booragul,1412,878,,738,1,9,,NSW,206,1,9,828,962,0%
10293,Booral (NSW),397,958,,2569,4,32,,NSW,805,4,32,958,958,0%
10294,Boorolong,181,1041,,5968,8,73,,NSW,1792,7,70,1041,1041,0%
10295,Boorooma,110,1093,,7499,10,91,,NSW,2256,9,88,1093,1093,0%
10296,Boorowa,1616,944,,2126,3,26,,NSW,673,3,27,881,1080,0%
10297,Bootawa,385,984,,3558,5,44,,NSW,1093,5,43,984,984,0%
10298,Bora Ridge,212,901,,1088,2,14,,NSW,332,2,13,901,901,0%
10299,Borambola,354,1027,,5400,7,66,,NSW,1638,7,64,1027,1027,0%
10300,Boree Creek,210,933,,1841,3,23,,NSW,589,3,23,933,933,0%
10301,Borenore,434,1087,,7351,9,90,,NSW,2215,9,87,1087,1087,0%
10302,Bossley Park,14035,972,,3089,4,38,,NSW,969,4,38,890,1070,0%
10303,Botany,8911,1033,,5670,7,69,,NSW,1717,7,67,906,1107,0%
10306,Bourke,2462,925,,1617,2,20,,NSW,512,2,20,788,1029,0%
10307,Bourkelands,2299,1086,,7326,9,89,,NSW,2207,9,87,1055,1123,0%
10308,Bournda,123,1039,,5868,8,72,,NSW,1762,7,69,1039,1039,0%
10309,Bow Bowing,1590,1019,,5051,7,62,,NSW,1552,7,61,932,1084,0%
10310,Bowan Park,498,1110,,7770,10,95,,NSW,2341,10,92,1110,1110,0%
10311,Bowen Mountain,1457,1055,,6445,8,79,,NSW,1918,8,75,1024,1156,0%
10312,Bowenfels,1786,774,,204,1,3,,NSW,29,1,2,623,1105,0%
10313,Bowman,412,1002,,4323,6,53,,NSW,1325,6,52,1002,1002,0%
10314,Bowning,712,1025,,5299,7,65,,NSW,1615,7,63,938,1086,0%
10315,Bowral,8032,1040,,5911,8,72,,NSW,1776,7,70,923,1172,0%
10316,Bowraville,1209,811,,290,1,4,,NSW,58,1,3,737,903,0%
10318,Box Hill (NSW),1178,1053,,6365,8,78,,NSW,1902,8,75,1039,1064,0%
10319,Boydtown,159,985,,3603,5,44,,NSW,1111,5,44,985,985,0%
10320,Bradbury (NSW),8731,949,,2301,3,28,,NSW,729,3,29,638,1053,0%
10321,Braemar,310,1018,,5049,7,62,,NSW,1551,7,61,1018,1018,0%
10322,Braidwood,1504,972,,3072,4,38,,NSW,962,4,38,933,1046,0%
10323,Brandy Hill,671,1100,,7626,10,93,,NSW,2295,9,90,1099,1101,0%
10324,Branxton,1821,1013,,4802,6,59,,NSW,1481,6,58,937,1107,0%
10325,Braunstone,293,962,,2735,4,34,,NSW,857,4,34,962,962,0%
10326,Bray Park (NSW),837,860,,550,1,7,,NSW,142,1,6,841,885,0%
10327,Breadalbane (NSW),274,1039,,5884,8,72,,NSW,1767,7,69,1039,1039,0%
10328,Breakfast Creek,274,991,,3833,5,47,,NSW,1179,5,46,991,991,0%
10329,Breakfast Point,2749,1141,,8108,10,99,,NSW,2484,10,97,1124,1163,0%
10330,Bream Beach,124,1006,,4489,6,55,,NSW,1373,6,54,1006,1006,0%
10331,Bredbo,501,1028,,5473,7,67,,NSW,1662,7,65,1028,1028,0%
10332,Brewarrina,1255,800,,252,1,4,,NSW,46,1,2,750,858,5%
